ala # qwe
bbb#qwe
caw # b ewq
zx #h ewq
e# b
qwert 0g000c0a
qwert hg000c0a
qwert 00f00c0a
qwert h0f00c0a
qwert 0gf00c0a
qwert hgf00c0a
qwert 000e0c0a
qwert h00e0c0a
qwert 0g0e0c0a
qwert hg0e0c0a
qwert 00fe0c0a
qwert h0fe0c0a
qwert 0gfe0c0a
qwert hgfe0c0a
qwert 0000dc0a
qwert h000dc0a
qwert 0g00dc0a
qwert hg00dc0a
qwert 00f0dc0a
qwert h0f0dc0a
qwert 0gf0dc0a
qwert hgf0dc0a
qwert 000edc0a
qwert h00edc0a
qwert 0g0edc0a
qwert hg0edc0a
qwert 00fedc0a
qwert h0fedc0a
qwert 0gfedc0a
qwert hgfedc0a
qwert 000000ba
qwert h00000ba
qwert 0g0000ba
qwert hg0000ba
qwert 00f000ba
qwert h0f000ba
qwert 0gf000ba
qwert hgf000ba
qwert 000e00ba
qwert h00e00ba
qwert 0g0e00ba
qwert hg0e00ba
qwert 00fe00ba
qwert h0fe00ba
qwert 0gfe00ba
qwert hgfe00ba
qwert 0000d0ba
qwert h000d0ba
qwert 0g00d0ba
qwert hg00d0ba
qwert 00f0d0ba
qwert h0f0d0ba
qwert 0gf0d0ba
qwert hgf0d0ba
qwert 000ed0ba
qwert h00ed0ba
qwert 0g0ed0ba
qwert hg0ed0ba
qwert 00fed0ba
qwert h0fed0ba
qwert 0gfed0ba
qwert hgfed0ba
qwert 00000cba
qwert h0000cba
qwert 0g000cba
qwert hg000cba
qwert 00f00cba
qwert h0f00cba
qwert 0gf00cba
qwert hgf00cba
qwert 000e0cba
qwert h00e0cba
qwert 0g0e0cba
qwert hg0e0cba
qwert 00fe0cba
qwert h0fe0cba
qwert 0gfe0cba
qwert hgfe0cba
qwert 0000dcba
qwert h000dcba
qwert 0g00dcba
qwert hg00dcba
qwert 00f0dcba
qwert h0f0dcba
qwert 0gf0dcba
qwert hgf0dcba
qwert 000edcba
qwert h00edcba
qwert 0g0edcba
qwert hg0edcba
qwert 00fedcba
qwert h0fedcba
qwert 0gfedcba
qwert hgfedcba
qwert 00000000a
qwert i0000000a
qwert 0h000000a
qwert ih000000a
qwert 00g00000a
qwert i0g00000a
qwert 0hg00000a
qwert ihg00000a
qwert 000f0000a
qwert i00f0000a
qwert 0h0f0000a
qwert ih0f0000a
qwert 00gf0000a
qwert i0gf0000a
qwert 0hgf0000a
qwert ihgf0000a
qwert 0000e000a
qwert i000e000a
qwert 0h00e000a
qwert ih00e000a
qwert 00g0e000a
qwert i0g0e000a
qwert 0hg0e000a
qwert ihg0e000a
qwert 000fe000a
qwert i00fe000a
qwert 0h0fe000a
qwert ih0fe000a
qwert 00gfe000a
qwert i0gfe000a
qwert 0hgfe000a
qwert ihgfe000a
qwert 00000d00a
qwert i0000d00a
qwert 0h000d00a
qwert ih000d00a
qwert 00g00d00a
qwert i0g00d00a
qwert 0hg00d00a
qwert ihg00d00a
qwert 000f0d00a
qwert i00f0d00a
qwert 0h0f0d00a
qwert ih0f0d00a
qwert 00gf0d00a
qwert i0gf0d00a
qwert 0hgf0d00a
qwert ihgf0d00a
qwert 0000ed00a
qwert i000ed00a
qwert 0h00ed00a
qwert ih00ed00a
qwert 00g0ed00a
qwert i0g0ed00a
qwert 0hg0ed00a
qwert ihg0ed00a
qwert 000fed00a
qwert i00fed00a
qwert 0h0fed00a
qwert ih0fed00a
qwert 00gfed00a
qwert i0gfed00a
qwert 0hgfed00a
qwert ihgfed00a
qwert 000000c0a
qwert i00000c0a
qwert 0h0000c0a
qwert ih0000c0a
qwert 00g000c0a
qwert i0g000c0a
qwert 0hg000c0a
qwert ihg000c0a
qwert 000f00c0a
qwert i00f00c0a
qwert 0h0f00c0a
qwert ih0f00c0a
qwert 00gf00c0a
qwert i0gf00c0a
qwert 0hgf00c0a
qwert ihgf00c0a
qwert 0000e0c0a
qwert i000e0c0a
qwert 0h00e0c0a
qwert ih00e0c0a
qwert 00g0e0c0a
qwert i0g0e0c0a
qwert 0hg0e0c0a
qwert ihg0e0c0a
qwert 000fe0c0a
qwert i00fe0c0a
qwert 0h0fe0c0a
qwert ih0fe0c0a
qwert 00gfe0c0a
qwert i0gfe0c0a
qwert 0hgfe0c0a
qwert ihgfe0c0a
qwert 00000dc0a
qwert i0000dc0a
qwert 0h000dc0a
qwert ih000dc0a
qwert 00g00dc0a
qwert i0g00dc0a
qwert 0hg00dc0a
qwert ihg00dc0a
qwert 000f0dc0a
qwert i00f0dc0a
qwert 0h0f0dc0a
qwert ih0f0dc0a
qwert 00gf0dc0a
qwert i0gf0dc0a
qwert 0hgf0dc0a
qwert ihgf0dc0a
qwert 0000edc0a
qwert i000edc0a
qwert 0h00edc0a
qwert ih00edc0a
qwert 00g0edc0a
qwert i0g0edc0a
qwert 0hg0edc0a
qwert ihg0edc0a
qwert 000fedc0a
qwert i00fedc0a
qwert 0h0fedc0a
qwert ih0fedc0a
qwert 00gfedc0a
qwert i0gfedc0a
qwert 0hgfedc0a
qwert ihgfedc0a
qwert 0000000ba
qwert i000000ba
qwert 0h00000ba
qwert ih00000ba
qwert 00g0000ba
qwert i0g0000ba
qwert 0hg0000ba
qwert ihg0000ba
qwert 000f000ba
qwert i00f000ba
qwert 0h0f000ba
qwert ih0f000ba
qwert 00gf000ba
qwert i0gf000ba
qwert 0hgf000ba
qwert ihgf000ba
qwert 0000e00ba
qwert i000e00ba
qwert 0h00e00ba
qwert ih00e00ba
qwert 00g0e00ba
qwert i0g0e00ba
qwert 0hg0e00ba
qwert ihg0e00ba
qwert 000fe00ba
qwert i00fe00ba
qwert 0h0fe00ba
qwert ih0fe00ba
qwert 00gfe00ba
qwert i0gfe00ba
qwert 0hgfe00ba
qwert ihgfe00ba
qwert 00000d0ba
qwert i0000d0ba
qwert 0h000d0ba
qwert ih000d0ba
qwert 00g00d0ba
qwert i0g00d0ba
qwert 0hg00d0ba
qwert ihg00d0ba
qwert 000f0d0ba
qwert i00f0d0ba
qwert 0h0f0d0ba
qwert ih0f0d0ba
qwert 00gf0d0ba
qwert i0gf0d0ba
qwert 0hgf0d0ba
qwert ihgf0d0ba
qwert 0000ed0ba
qwert i000ed0ba
qwert 0h00ed0ba
qwert ih00ed0ba
qwert 00g0ed0ba
qwert i0g0ed0ba
qwert 0hg0ed0ba
qwert ihg0ed0ba
qwert 000fed0ba
qwert i00fed0ba
qwert 0h0fed0ba
qwert ih0fed0ba
qwert 00gfed0ba
qwert i0gfed0ba
qwert 0hgfed0ba
qwert ihgfed0ba
qwert 000000cba
qwert i00000cba
qwert 0h0000cba
qwert ih0000cba
qwert 00g000cba
qwert i0g000cba
qwert 0hg000cba
qwert ihg000cba
qwert 000f00cba
qwert i00f00cba
qwert 0h0f00cba
qwert ih0f00cba
qwert 00gf00cba
qwert i0gf00cba
qwert 0hgf00cba
qwert ihgf00cba
qwert 0000e0cba
qwert i000e0cba
qwert 0h00e0cba
qwert ih00e0cba
qwert 00g0e0cba
qwert i0g0e0cba
qwert 0hg0e0cba
qwert ihg0e0cba
qwert 000fe0cba
qwert i00fe0cba
qwert 0h0fe0cba
qwert ih0fe0cba
qwert 00gfe0cba
qwert i0gfe0cba
qwert 0hgfe0cba
qwert ihgfe0cba
qwert 00000dcba
qwert i0000dcba
qwert 0h000dcba
qwert ih000dcba
qwert 00g00dcba
qwert i0g00dcba
qwert 0hg00dcba
qwert ihg00dcba
qwert 000f0dcba
qwert i00f0dcba
qwert 0h0f0dcba
qwert ih0f0dcba
qwert 00gf0dcba
qwert i0gf0dcba
qwert 0hgf0dcba
qwert ihgf0dcba
qwert 0000edcba
qwert i000edcba
qwert 0h00edcba
qwert ih00edcba
qwert 00g0edcba
qwert i0g0edcba
qwert 0hg0edcba
qwert ihg0edcba
qwert 000fedcba
qwert i00fedcba
qwert 0h0fedcba
qwert ih0fedcba
qwert 00gfedcba
qwert i0gfedcba
qwert 0hgfedcba
qwert ihgfedcba
qwert 000000000a
qwert j00000000a
qwert 0i0000000a
qwert ji0000000a
qwert 00h000000a
qwert j0h000000a
qwert 0ih000000a
qwert jih000000a
qwert 000g00000a
qwert j00g00000a
qwert 0i0g00000a
qwert ji0g00000a
qwert 00hg00000a
qwert j0hg00000a
qwert 0ihg00000a
qwert jihg00000a
qwert 0000f0000a
qwert j000f0000a
qwert 0i00f0000a
qwert ji00f0000a
qwert 00h0f0000a
qwert j0h0f0000a
qwert 0ih0f0000a
qwert jih0f0000a
qwert 000gf0000a
qwert j00gf0000a
qwert 0i0gf0000a
qwert ji0gf0000a
qwert 00hgf0000a
qwert j0hgf0000a
qwert 0ihgf0000a
qwert jihgf0000a
qwert 00000e000a
qwert j0000e000a
qwert 0i000e000a
qwert ji000e000a
qwert 00h00e000a
qwert j0h00e000a
qwert 0ih00e000a
qwert jih00e000a
qwert 000g0e000a
qwert j00g0e000a
qwert 0i0g0e000a
qwert ji0g0e000a
qwert 00hg0e000a
qwert j0hg0e000a
qwert 0ihg0e000a
qwert jihg0e000a
qwert 0000fe000a
qwert j000fe000a
qwert 0i00fe000a
qwert ji00fe000a
qwert 00h0fe000a
qwert j0h0fe000a
qwert 0ih0fe000a
qwert jih0fe000a
qwert 000gfe000a
qwert j00gfe000a
qwert 0i0gfe000a
qwert ji0gfe000a
qwert 00hgfe000a
qwert j0hgfe000a
qwert 0ihgfe000a
qwert jihgfe000a
qwert 000000d00a
qwert j00000d00a
qwert 0i0000d00a
qwert ji0000d00a
qwert 00h000d00a
qwert j0h000d00a
qwert 0ih000d00a
qwert jih000d00a
qwert 000g00d00a
qwert j00g00d00a
qwert 0i0g00d00a
qwert ji0g00d00a
qwert 00hg00d00a
qwert j0hg00d00a
qwert 0ihg00d00a
qwert jihg00d00a
qwert 0000f0d00a
qwert j000f0d00a
qwert 0i00f0d00a
qwert ji00f0d00a
qwert 00h0f0d00a
qwert j0h0f0d00a
qwert 0ih0f0d00a
qwert jih0f0d00a
qwert 000gf0d00a
qwert j00gf0d00a
qwert 0i0gf0d00a
qwert ji0gf0d00a
qwert 00hgf0d00a
qwert j0hgf0d00a
qwert 0ihgf0d00a
qwert jihgf0d00a
qwert 00000ed00a
qwert j0000ed00a
qwert 0i000ed00a
qwert ji000ed00a
qwert 00h00ed00a
qwert j0h00ed00a
qwert 0ih00ed00a
qwert jih00ed00a
qwert 000g0ed00a
qwert j00g0ed00a
qwert 0i0g0ed00a
qwert ji0g0ed00a
qwert 00hg0ed00a
qwert j0hg0ed00a
qwert 0ihg0ed00a
qwert jihg0ed00a
qwert 0000fed00a
qwert j000fed00a
qwert 0i00fed00a
qwert ji00fed00a
qwert 00h0fed00a
qwert j0h0fed00a
qwert 0ih0fed00a
qwert jih0fed00a
qwert 000gfed00a
qwert j00gfed00a
qwert 0i0gfed00a
qwert ji0gfed00a
qwert 00hgfed00a
qwert j0hgfed00a
qwert 0ihgfed00a
qwert jihgfed00a
qwert 0000000c0a
qwert j000000c0a
qwert 0i00000c0a
qwert ji00000c0a
qwert 00h0000c0a
qwert j0h0000c0a
qwert 0ih0000c0a
qwert jih0000c0a
qwert 000g000c0a
qwert j00g000c0a
qwert 0i0g000c0a
qwert ji0g000c0a
qwert 00hg000c0a
qwert j0hg000c0a
qwert 0ihg000c0a
qwert jihg000c0a
qwert 0000f00c0a
qwert j000f00c0a
qwert 0i00f00c0a
qwert ji00f00c0a
qwert 00h0f00c0a
qwert j0h0f00c0a
qwert 0ih0f00c0a
qwert jih0f00c0a
qwert 000gf00c0a
qwert j00gf00c0a
qwert 0i0gf00c0a
qwert ji0gf00c0a
qwert 00hgf00c0a
qwert j0hgf00c0a
qwert 0ihgf00c0a
qwert jihgf00c0a
qwert 00000e0c0a
qwert j0000e0c0a
qwert 0i000e0c0a
qwert ji000e0c0a
qwert 00h00e0c0a
qwert j0h00e0c0a
qwert 0ih00e0c0a
qwert jih00e0c0a
qwert 000g0e0c0a
qwert j00g0e0c0a
qwert 0i0g0e0c0a
qwert ji0g0e0c0a
qwert 00hg0e0c0a
qwert j0hg0e0c0a
qwert 0ihg0e0c0a
qwert jihg0e0c0a
qwert 0000fe0c0a
qwert j000fe0c0a
qwert 0i00fe0c0a
qwert ji00fe0c0a
qwert 00h0fe0c0a
qwert j0h0fe0c0a
qwert 0ih0fe0c0a
qwert jih0fe0c0a
qwert 000gfe0c0a
qwert j00gfe0c0a
qwert 0i0gfe0c0a
qwert ji0gfe0c0a
qwert 00hgfe0c0a
qwert j0hgfe0c0a
qwert 0ihgfe0c0a
qwert jihgfe0c0a
qwert 000000dc0a
qwert j00000dc0a
qwert 0i0000dc0a
qwert ji0000dc0a
qwert 00h000dc0a
qwert j0h000dc0a
qwert 0ih000dc0a
qwert jih000dc0a
qwert 000g00dc0a
qwert j00g00dc0a
qwert 0i0g00dc0a
qwert ji0g00dc0a
qwert 00hg00dc0a
qwert j0hg00dc0a
qwert 0ihg00dc0a
qwert jihg00dc0a
qwert 0000f0dc0a
qwert j000f0dc0a
qwert 0i00f0dc0a
qwert ji00f0dc0a
qwert 00h0f0dc0a
qwert j0h0f0dc0a
qwert 0ih0f0dc0a
qwert jih0f0dc0a
qwert 000gf0dc0a
qwert j00gf0dc0a
qwert 0i0gf0dc0a
qwert ji0gf0dc0a
qwert 00hgf0dc0a
qwert j0hgf0dc0a
qwert 0ihgf0dc0a
qwert jihgf0dc0a
qwert 00000edc0a
qwert j0000edc0a
qwert 0i000edc0a
qwert ji000edc0a
qwert 00h00edc0a
qwert j0h00edc0a
qwert 0ih00edc0a
qwert jih00edc0a
qwert 000g0edc0a
qwert j00g0edc0a
qwert 0i0g0edc0a
qwert ji0g0edc0a
qwert 00hg0edc0a
qwert j0hg0edc0a
qwert 0ihg0edc0a
qwert jihg0edc0a
qwert 0000fedc0a
qwert j000fedc0a
qwert 0i00fedc0a
qwert ji00fedc0a
qwert 00h0fedc0a
qwert j0h0fedc0a
qwert 0ih0fedc0a
qwert jih0fedc0a
qwert 000gfedc0a
qwert j00gfedc0a
qwert 0i0gfedc0a
qwert ji0gfedc0a
qwert 00hgfedc0a
qwert j0hgfedc0a
qwert 0ihgfedc0a
qwert jihgfedc0a
qwert 00000000ba
qwert j0000000ba
qwert 0i000000ba
qwert ji000000ba
qwert 00h00000ba
qwert j0h00000ba
qwert 0ih00000ba
qwert jih00000ba
qwert 000g0000ba
qwert j00g0000ba
qwert 0i0g0000ba
qwert ji0g0000ba
qwert 00hg0000ba
qwert j0hg0000ba
qwert 0ihg0000ba
qwert jihg0000ba
qwert 0000f000ba
qwert j000f000ba
qwert 0i00f000ba
qwert ji00f000ba
qwert 00h0f000ba
qwert j0h0f000ba
qwert 0ih0f000ba
qwert jih0f000ba
qwert 000gf000ba
qwert j00gf000ba
qwert 0i0gf000ba
qwert ji0gf000ba
qwert 00hgf000ba
qwert j0hgf000ba
qwert 0ihgf000ba
qwert jihgf000ba
qwert 00000e00ba
qwert j0000e00ba
qwert 0i000e00ba
qwert ji000e00ba
qwert 00h00e00ba
qwert j0h00e00ba
qwert 0ih00e00ba
qwert jih00e00ba
qwert 000g0e00ba
qwert j00g0e00ba
qwert 0i0g0e00ba
qwert ji0g0e00ba
qwert 00hg0e00ba
qwert j0hg0e00ba
qwert 0ihg0e00ba
qwert jihg0e00ba
qwert 0000fe00ba
qwert j000fe00ba
qwert 0i00fe00ba
qwert ji00fe00ba
qwert 00h0fe00ba
qwert j0h0fe00ba
qwert 0ih0fe00ba
qwert jih0fe00ba
qwert 000gfe00ba
qwert j00gfe00ba
qwert 0i0gfe00ba
qwert ji0gfe00ba
qwert 00hgfe00ba
qwert j0hgfe00ba
qwert 0ihgfe00ba
qwert jihgfe00ba
qwert 000000d0ba
qwert j00000d0ba
qwert 0i0000d0ba
qwert ji0000d0ba
qwert 00h000d0ba
qwert j0h000d0ba
qwert 0ih000d0ba
qwert jih000d0ba
qwert 000g00d0ba
qwert j00g00d0ba
qwert 0i0g00d0ba
qwert ji0g00d0ba
qwert 00hg00d0ba
qwert j0hg00d0ba
qwert 0ihg00d0ba
qwert jihg00d0ba
qwert 0000f0d0ba
qwert j000f0d0ba
qwert 0i00f0d0ba
qwert ji00f0d0ba
qwert 00h0f0d0ba
qwert j0h0f0d0ba
qwert 0ih0f0d0ba
qwert jih0f0d0ba
qwert 000gf0d0ba
qwert j00gf0d0ba
qwert 0i0gf0d0ba
qwert ji0gf0d0ba
qwert 00hgf0d0ba
qwert j0hgf0d0ba
qwert 0ihgf0d0ba
qwert jihgf0d0ba
qwert 00000ed0ba
qwert j0000ed0ba
qwert 0i000ed0ba
qwert ji000ed0ba
qwert 00h00ed0ba
qwert j0h00ed0ba
qwert 0ih00ed0ba
qwert jih00ed0ba
qwert 000g0ed0ba
qwert j00g0ed0ba
qwert 0i0g0ed0ba
qwert ji0g0ed0ba
qwert 00hg0ed0ba
qwert j0hg0ed0ba
qwert 0ihg0ed0ba
qwert jihg0ed0ba
qwert 0000fed0ba
qwert j000fed0ba
qwert 0i00fed0ba
qwert ji00fed0ba
qwert 00h0fed0ba
qwert j0h0fed0ba
qwert 0ih0fed0ba
qwert jih0fed0ba
qwert 000gfed0ba
qwert j00gfed0ba
qwert 0i0gfed0ba
qwert ji0gfed0ba
qwert 00hgfed0ba
qwert j0hgfed0ba
qwert 0ihgfed0ba
qwert jihgfed0ba
qwert 0000000cba
qwert j000000cba
qwert 0i00000cba
qwert ji00000cba
qwert 00h0000cba
qwert j0h0000cba
qwert 0ih0000cba
qwert jih0000cba
qwert 000g000cba
qwert j00g000cba
qwert 0i0g000cba
qwert ji0g000cba
qwert 00hg000cba
qwert j0hg000cba
qwert 0ihg000cba
qwert jihg000cba
qwert 0000f00cba
qwert j000f00cba
qwert 0i00f00cba
qwert ji00f00cba
qwert 00h0f00cba
qwert j0h0f00cba
qwert 0ih0f00cba
qwert jih0f00cba
qwert 000gf00cba
qwert j00gf00cba
qwert 0i0gf00cba
qwert ji0gf00cba
qwert 00hgf00cba
qwert j0hgf00cba
qwert 0ihgf00cba
qwert jihgf00cba
qwert 00000e0cba
qwert j0000e0cba
qwert 0i000e0cba
qwert ji000e0cba
qwert 00h00e0cba
qwert j0h00e0cba
qwert 0ih00e0cba
qwert jih00e0cba
qwert 000g0e0cba
qwert j00g0e0cba
qwert 0i0g0e0cba
qwert ji0g0e0cba
qwert 00hg0e0cba
qwert j0hg0e0cba
qwert 0ihg0e0cba
qwert jihg0e0cba
qwert 0000fe0cba
qwert j000fe0cba
qwert 0i00fe0cba
qwert ji00fe0cba
qwert 00h0fe0cba
qwert j0h0fe0cba
qwert 0ih0fe0cba
qwert jih0fe0cba
qwert 000gfe0cba
qwert j00gfe0cba
qwert 0i0gfe0cba
qwert ji0gfe0cba
qwert 00hgfe0cba
qwert j0hgfe0cba
qwert 0ihgfe0cba
qwert jihgfe0cba
qwert 000000dcba
qwert j00000dcba
qwert 0i0000dcba
qwert ji0000dcba
qwert 00h000dcba
qwert j0h000dcba
qwert 0ih000dcba
qwert jih000dcba
qwert 000g00dcba
qwert j00g00dcba
qwert 0i0g00dcba
qwert ji0g00dcba
qwert 00hg00dcba
qwert j0hg00dcba
qwert 0ihg00dcba
qwert jihg00dcba
qwert 0000f0dcba
qwert j000f0dcba
qwert 0i00f0dcba
qwert ji00f0dcba
qwert 00h0f0dcba
qwert j0h0f0dcba
qwert 0ih0f0dcba
qwert jih0f0dcba
qwert 000gf0dcba
qwert j00gf0dcba
qwert 0i0gf0dcba
qwert ji0gf0dcba
qwert 00hgf0dcba
qwert j0hgf0dcba
qwert 0ihgf0dcba
qwert jihgf0dcba
qwert 00000edcba
qwert j0000edcba
qwert 0i000edcba
qwert ji000edcba
qwert 00h00edcba
qwert j0h00edcba
qwert 0ih00edcba
qwert jih00edcba
qwert 000g0edcba
